"person";"txt"
"Frannie";"Hey, Monica!"
"Monica";"Hey Frannie, welcome back! How was Florida?"
"Frannie";"You had sex, didn't you?"
"Frannie";"So? Who?"
"Monica";"You know Paul?"
"Frannie";"Paul the Wine Guy? Oh yeah, I know Paul."
"Monica";"You mean you know Paul like I know Paul?"
"Frannie";"Are you kidding? I take credit for Paul. Y'know before me, there was nosnap in his turtle for two years."
"Joey";"(sitting on the arm of the couch)Of course it was a line!"
"Monica";"Why?! Why? Why, why would anybody do something like that?"
"Ross";"I assume we're looking for an answer more sophisticated than 'to get youinto bed'."
"Phoebe";"All right, c'mere, gimme your feet. (She starts massaging them.)"
"Monica";"I just thought he was nice, y'know?"
"Joey";"(bursts out laughing again) I can't believe you didn't know it was a line!"
"Rachel";"Guess what?"
"Ross";"You got a job?"
"Rachel";"Are you kidding? I'm trained for nothing! I was laughed out of twelveinterviews today."
"Chandler";"And yet you're surprisingly upbeat."
"Rachel";"You would be too if you found John and David boots on sale, fiftypercent off!"
"Chandler";"Oh, how well you know me..."
"Rachel";"They're my new 'I don't need a job, I don't need my parents, I've gotgreat boots' boots!"
"Monica";"How'd you pay for them?"
"Rachel";"Uh, credit card."
"Monica";"And who pays for that?"
"Rachel";"Um... my... father."
"Monica";"C'mon, you can't live off your parents your whole life."
"Rachel";"I know that. That's why I was getting married."
"Phoebe";"Give her a break, it's hard being on your own for the first time."
"Rachel";"Thank you."
"Phoebe";"You're welcome. I remember when I first came to this city. I wasfourteen. My mom had just killed herself and my step-dad was back in prison, and I gothere, and I didn't know anybody. And I ended up living with this albino guy who was, like,cleaning windshields outside port authority, and then he killed himself, and then I foundaromatherapy. So believe me, I know exactly how you feel."
"Ross";"The word you're looking for is 'Anyway'..."
"Ross";"C'mon, cut. Cut, cut, cut,..."
"Monica";"Well, that's it (To Ross) You gonna crash on the couch?"
"Ross";"No. No, I gotta go home sometime."
"Monica";"You be okay?"
"Ross";"Yeah."
"Rachel";"Hey Mon, look what I just found on the floor. (Monica smiles.) What?"
"Ross";"Mmm. (They both reach for the last cookie) Oh, no-"
"Rachel";"Sorry-"
"Ross";"No no no, go-"
"Rachel";"No, you have it, really, I don't want it-"
"Ross";"Split it?"
"Rachel";"Okay."
"Ross";"Okay. (They split it.) You know you probably didn't know this, but back inhigh school, I had a, um, major crush on you."
"Rachel";"I knew."
"Ross";"You did! Oh.... I always figured you just thought I was Monica's geekyolder brother."
"Rachel";"I did."
"Ross";"Oh. Listen, do you think- and try not to let my intense vulnerabilitybecome any kind of a factor here- but do you think it would be okay if I asked you out?Sometime? Maybe?"
"Rachel";"Yeah, maybe..."
"Ross";"Okay... okay, maybe I will..."
"Rachel";"Goodnight."
"Ross";"Goodnight."
"Monica";"See ya.... Waitwait, what's with you?"
"Ross";"I just grabbed a spoon. (Ross exits and Monica has no idea what thatmeans.)"
"Joey";"I can't believe what I'm hearing here."
"Phoebe";"(sings)"
"Monica";"What? I-I said you had a-"
"Phoebe";"(sings)"
"Monica";"(to Phoebe) Would you stop?"
"Rachel";"(walks up with a pot of coffee) Would anybody like more coffee?"
"Chandler";"Did you make it, or are you just serving it?"
"Rachel";"I'm just serving it."
"All";"Yeah. Yeah, I'll have a cup of coffee."
"Joey";"Yeah, right!.......Y'serious?"
"Phoebe";"Oh, yeah!"
"Rachel";"Everything you need to know is in that first kiss."
"Monica";"Absolutely."
"Chandler";"Yeah, I think for us, kissing is pretty much like an opening act,y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floydcomes out."
"Ross";"Yeah, and-and it's not that we don't like the comedian, it's that-that...that's not why we bought the ticket."
